id,lat,lon,name
365,19.381117,-99.186687,365 HOLBEIN-AVENIDA REVOLUCIÓN
366,19.378345,-99.181973,366 PORFIRIO DÍAZ-AUGUSTO RODÍN
367,19.37946,-99.181632,367 BOSTON -AUGUSTO RODÍN
368,19.379246,-99.179344,368 PORFIRIO DÍAZ-CINCINATTI 
369,19.379884,-99.177478,369 PORFIRIO DÍAZ-AV. INSURGENTES
370,19.378818,-99.177054,370 TLACOQUEMECATL-AV. INSURGENTES
371,19.378542,-99.174328,371 TLACOQUEMECATL-CAPULIN
372,19.37797,-99.170289,372 DR. ROBERTO GAYOL-TLACOQUEMECATL
373,19.377968,-99.166663,373 PILARES-GABRIEL MANCERA
374,19.376964,-99.161116,374 PITÁGORAS-PILARES
375,19.376865,-99.158818,375 TENAYUCA-DIVISIÓN DEL NORTE
376,19.375442,-99.161595,376 PITÁGORAS-AV. UNIVERSIDAD
377,19.375394,-99.16375,377 HERIBERTO FRÍAS-MIGUEL LAURENT
378,19.375823,-99.168076,378 MIGUEL LAURENT-AMORES
379,19.375751,-99.17084,379 DR. ROBERTO GAYOL-MIGUEL LAURENT
380,19.374876,-99.173512,380 MORAS-SAN LORENZO
381,19.375541,-99.177894,381 SAN LORENZO-MANZANAS
382,19.375591,-99.178084,382 SAN LORENZO-AV. INSURGENTES
383,19.375764,-99.181527,383 LUIS CARACCI-2DA. LUIS CARACCI
384,19.375873,-99.185583,384 EMPRESA-POUSSIN
385,19.375651,-99.18558,385 POUSSIN-EMPRESA
386,19.37484,-99.185846,386 POUSSIN-DONATELLO
387,19.37455556,-99.18050556,387 CADIZ-EMPRESA
388,19.373038,-99.181355,388 VALENCIA-MALAGA
389,19.373528,-99.179356,389 SANTANDER-FELIX CUEVAS
390,19.373228,-99.17826,390 OSO-FELIX CUEVAS
